#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
Key;English;;;;;;;;;;;;x
HAS_NO_UNION_TAG;有文化圈领导国;;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$天;;;;;;;;;;;;x
HAS_GOODS;生产;;;;;;;;;;;;x
shinto;神道教;;;;;;;;;;;;x
sephardic;塞法迪人;;;;;;;;;;;;x
far_east_asian;远东人;;;;;;;;;;;;x
HAS_SIEGE;被围攻;;;;;;;;;;;;x
regular;正规兵;;;;;;;;;;;;x
regular_short;正规;;;;;;;;;;;;x
horse_artillery;骑炮兵;;;;;;;;;;;;x
horse_artillery_short;骑炮;;;;;;;;;;;;x
no_personality;无个性;;;;;;;;;;;;x
active_p;积极;;;;;;;;;;;;x
au_fait;实事通;;;;;;;;;;;;x
apathetic;冷漠;;;;;;;;;;;;x
audacious;鲁莽;;;;;;;;;;;;x
able;合格;;;;;;;;;;;;x
aweless;毫无畏惧;;;;;;;;;;;;x
aggressive;好斗;;;;;;;;;;;;x
arrogant;傲慢;;;;;;;;;;;;x
balanced_p;平静;;;;;;;;;;;;x
bigoted;固执;;;;;;;;;;;;x
brilliant;卓越;;;;;;;;;;;;x
brutish;野蛮;;;;;;;;;;;;x
bold;英勇;;;;;;;;;;;;x
brash;性急;;;;;;;;;;;;x
ballsy;敢作敢为;;;;;;;;;;;;x
bastard;怯懦;;;;;;;;;;;;x
cautious;谨慎;;;;;;;;;;;;x
coward;懦夫;;;;;;;;;;;;x
chickenhearted;胆小如鼠;;;;;;;;;;;;x
craven;畏缩;;;;;;;;;;;;x
competent;能干;;;;;;;;;;;;x
clever;聪明;;;;;;;;;;;;x
careless;粗心大意;;;;;;;;;;;;x
calm;沉着;;;;;;;;;;;;x
cool_minded;冷静;;;;;;;;;;;;x
careful;小心翼翼;;;;;;;;;;;;x
cruel;残忍;;;;;;;;;;;;x
choleric;暴躁;;;;;;;;;;;;x
charismatic;超凡魅力;;;;;;;;;;;;x
chivalrous;豪侠;;;;;;;;;;;;x
confident;自信;;;;;;;;;;;;x
doughty;刚强;;;;;;;;;;;;x
defiant;目中无人;;;;;;;;;;;;x
disciplined;守纪;;;;;;;;;;;;x
diligent;勤奋;;;;;;;;;;;;x
dauntless;不屈不挠;;;;;;;;;;;;x
daring;大胆;;;;;;;;;;;;x
disorderly;无法无天;;;;;;;;;;;;x
decisive;坚定;;;;;;;;;;;;x
dumb;沉默寡言;;;;;;;;;;;;x
diplomatic;老练;;;;;;;;;;;;x
deeply_religious;虔诚;;;;;;;;;;;;x
expert;专家;;;;;;;;;;;;x
energetic;精力充沛;;;;;;;;;;;;x
efficient;高效;;;;;;;;;;;;x
emotional;性情中人;;;;;;;;;;;;x
earnest;认真;;;;;;;;;;;;x
fearless;无所畏惧;;;;;;;;;;;;x
forgiving;宽容;;;;;;;;;;;;x
fanatic;狂热;;;;;;;;;;;;x
gallant;勇敢;;;;;;;;;;;;x
glory_hound;追名逐利;;;;;;;;;;;;x
genius;天赋异禀;;;;;;;;;;;;x
gutsy;胆大;;;;;;;;;;;;x
harsh;苛刻;;;;;;;;;;;;x
hellbent;坚决;;;;;;;;;;;;x
heroic;英勇不屈;;;;;;;;;;;;x
irresponsible;不负责任;;;;;;;;;;;;x
imaginative;创造者;;;;;;;;;;;;x
indecisive;优柔寡断;;;;;;;;;;;;x
inspiring;鼓舞人心;;;;;;;;;;;;x
impetuous;浮躁;;;;;;;;;;;;x
implacable;无情;;;;;;;;;;;;x
imperious;专横;;;;;;;;;;;;x
irate;易怒;;;;;;;;;;;;x
intuitive;直觉;;;;;;;;;;;;x
impulsive;任性;;;;;;;;;;;;x
incapable;百无一能;;;;;;;;;;;;x
indifferent;漠不关心;;;;;;;;;;;;x
intelligent;明智;;;;;;;;;;;;x
inept;笨拙;;;;;;;;;;;;x
inefficient;低效;;;;;;;;;;;;x
keen;敏锐;;;;;;;;;;;;x
lilylivered;胆怯;;;;;;;;;;;;x
lackluster;平凡;;;;;;;;;;;;x
merciless;残酷;;;;;;;;;;;;x
meticulous;一丝不苟;;;;;;;;;;;;x
manful;男子汉;;;;;;;;;;;;x
madman;疯子;;;;;;;;;;;;x
mediocre;平庸;;;;;;;;;;;;x
maladroit;愚钝;;;;;;;;;;;;x
openminded;思想开放;;;;;;;;;;;;x
persistant;坚持不懈;;;;;;;;;;;;x
pompous;浮夸;;;;;;;;;;;;x
paranoid;偏执;;;;;;;;;;;;x
polite;礼貌;;;;;;;;;;;;x
pusillanimous;无决断;;;;;;;;;;;;x
pisspoor;烂透了;;;;;;;;;;;;x
perverse;乖张;;;;;;;;;;;;x
resourceful;足智多谋;;;;;;;;;;;;x
respectful;毕恭毕敬;;;;;;;;;;;;x
romantic;空想家;;;;;;;;;;;;x
relentless;毫不手软;;;;;;;;;;;;x
reserved;缄默;;;;;;;;;;;;x
resolute;果断;;;;;;;;;;;;x
ruthless;冷酷;;;;;;;;;;;;x
rebellious;反叛;;;;;;;;;;;;x
skilled;熟练;;;;;;;;;;;;x
secretive;偷偷摸摸;;;;;;;;;;;;x
shrinking_violet;羞怯;;;;;;;;;;;;x
sinner;罪人;;;;;;;;;;;;x
strange;生疏;;;;;;;;;;;;x
stout;结实;;;;;;;;;;;;x
soldierly;军人;;;;;;;;;;;;x
spirited;精神饱满;;;;;;;;;;;;x
stalwart;健壮;;;;;;;;;;;;x
soft;温和;;;;;;;;;;;;x
spineless;无骨气;;;;;;;;;;;;x
stouthearted;勇气可嘉;;;;;;;;;;;;x
steadfast;坚定;;;;;;;;;;;;x
scared;害怕;;;;;;;;;;;;x
shirker;懒骨头;;;;;;;;;;;;x
smart_p;聪慧;;;;;;;;;;;;x
sharp;锐利;;;;;;;;;;;;x
timid;害羞;;;;;;;;;;;;x
tactful;机智;;;;;;;;;;;;x
unflinching;绝不退缩;;;;;;;;;;;;x
unruly;无章法;;;;;;;;;;;;x
undisciplined;无纪律;;;;;;;;;;;;x
unforgiving;绝不宽恕;;;;;;;;;;;;x
unmanly;妇人之仁;;;;;;;;;;;;x
unsound;不牢靠;;;;;;;;;;;;x
vainglorious;虚荣;;;;;;;;;;;;x
vicious;恶毒;;;;;;;;;;;;x
wrathful;坏脾气;;;;;;;;;;;;x
wretched;可怜;;;;;;;;;;;;x
yellow;烂人;;;;;;;;;;;;x
no_background;无背景;;;;;;;;;;;;x
ambitious_careerist;野心家;;;;;;;;;;;;x
architect;建筑师;;;;;;;;;;;;x
armchair_general;纸上谈兵将军;;;;;;;;;;;;x
artillerist;炮手;;;;;;;;;;;;x
amateur;业余者;;;;;;;;;;;;x
aristocrat;贵族;;;;;;;;;;;;x
adventurer;冒险家;;;;;;;;;;;;x
butcher;屠夫;;;;;;;;;;;;x
bureaucrat_speed;官僚作风;;;;;;;;;;;;x
brownnoser;趋炎附势者;;;;;;;;;;;;x
brilliant_strategist;卓越战略家;;;;;;;;;;;;x
bootlicker;马屁精;;;;;;;;;;;;x
